scene_id,os_grid_pair,os_grid_ref,laz_path,laz_exists,laz_size_mb,laz_point_count,laz_readable,scene_marker_path,scene_marker_exists,split,dsm_height,dsm_width,n_valid,valid_fraction,n_tiles,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,centre_lat,centre_lon,gsd
EN_SD1282_P_12705_20220928_20220928,SD,SD1282,/data/data/england_raw/SD1282_P_12705_20220928_20220928.copc.laz,True,3.5,900767,True,/data/england_tiles/train/EN_SD1282_P_12705_20220928_20220928/_scene_EN_SD1282_P_12705_20220928_20220928.npz,True,train,2922,1362,778645,0.1957,40,312000.0,482000.0,312681.0,483461.0,54.232749,-3.346313,0.5
EN_SD1294_P_12706_20220902_20220902,SD,SD1294,/data/data/england_raw/SD1294_P_12706_20220902_20220902.copc.laz,True,1.02,170865,True,/data/england_tiles/train/EN_SD1294_P_12706_20220902_20220902/_scene_EN_SD1294_P_12706_20220902_20220902.npz,True,train,1266,1125,168554,0.1183,9,312000.0,495367.0,312562.5,496000.0,54.349118,-3.351027,0.5
EN_SD1296_P_12706_20220902_20220902,SD,SD1296,/data/data/england_raw/SD1296_P_12706_20220902_20220902.copc.laz,True,35.24,4714312,True,/data/england_tiles/train/EN_SD1296_P_12706_20220902_20220902/_scene_EN_SD1296_P_12706_20220902_20220902.npz,True,train,4000,2647,3471802,0.3279,121,312000.0,496000.0,313323.5,498000.0,54.361011,-3.345561,0.5
EN_SD1298_P_12706_20220902_20220902,SD,SD1298,/data/data/england_raw/SD1298_P_12706_20220902_20220902.copc.laz,True,4.01,478928,True,/data/england_tiles/train/EN_SD1298_P_12706_20220902_20220902/_scene_EN_SD1298_P_12706_20220902_20220902.npz,True,train,1014,1227,338289,0.2719,16,312000.0,498000.0,312613.5,498507.0,54.372213,-3.351392,0.5
EN_SD2202_P_12697_20221207_20221207,SD,SD2202,/data/data/england_raw/SD2202_P_12697_20221207_20221207.copc.laz,True,1.17,279435,True,/data/england_tiles/train/EN_SD2202_P_12697_20221207_20221207/_scene_EN_SD2202_P_12697_20221207_20221207.npz,True,train,1008,1540,278827,0.1796,20,323230.0,403496.0,324000.0,404000.0,53.524822,-3.153679,0.5
EN_SD2204_P_12697_20221207_20221207,SD,SD2204,/data/data/england_raw/SD2204_P_12697_20221207_20221207.copc.laz,True,7.85,1820758,True,/data/england_tiles/train/EN_SD2204_P_12697_20221207_20221207/_scene_EN_SD2204_P_12697_20221207_20221207.npz,True,train,4000,2668,1808139,0.1694,125,322666.0,404000.0,324000.0,406000.0,53.536032,-3.158239,0.5
EN_SD2206_P_12697_20221207_20221207,SD,SD2206,/data/data/england_raw/SD2206_P_12697_20221207_20221207.copc.laz,True,1.97,415764,True,/data/england_tiles/train/EN_SD2206_P_12697_20221207_20221207/_scene_EN_SD2206_P_12697_20221207_20221207.npz,True,train,1179,2736,413701,0.1282,32,322632.0,406000.0,324000.0,406589.5,53.547665,-3.158813,0.5
EN_SD2600_P_12697_20221207_20221207,SD,SD2600,/data/data/england_raw/SD2600_P_12697_20221207_20221207.copc.laz,True,7.63,1968837,True,/data/england_tiles/train/EN_SD2600_P_12697_20221207_20221207/_scene_EN_SD2600_P_12697_20221207_20221207.npz,True,train,4000,4000,1950048,0.1219,118,326000.0,400000.0,328000.0,402000.0,53.500608,-3.101988,0.5
EN_SD2602_P_12641_20220810_20220810,SD,SD2602,/data/data/england_raw/SD2602_P_12641_20220810_20220810.copc.laz,True,7.35,1955788,True,/data/england_tiles/train/EN_SD2602_P_12641_20220810_20220810/_scene_EN_SD2602_P_12641_20220810_20220810.npz,True,train,2415,3082,1778126,0.2389,78,326459.0,402792.5,328000.0,404000.0,53.522175,-3.099086,0.5
EN_SD2602_P_12697_20221207_20221207,SD,SD2602,/data/data/england_raw/SD2602_P_12697_20221207_20221207.copc.laz,True,19.49,5032785,True,/data/england_tiles/train/EN_SD2602_P_12697_20221207_20221207/_scene_EN_SD2602_P_12697_20221207_20221207.npz,True,train,4000,4000,4718423,0.2949,226,326000.0,402000.0,328000.0,404000.0,53.518582,-3.102455,0.5
EN_SD2604_P_12641_20220810_20220810,SD,SD2604,/data/data/england_raw/SD2604_P_12641_20220810_20220810.copc.laz,True,33.59,7384452,True,/data/england_tiles/train/EN_SD2604_P_12641_20220810_20220810/_scene_EN_SD2604_P_12641_20220810_20220810.npz,True,train,4000,3115,6132129,0.4921,208,326442.5,404000.0,328000.0,406000.0,53.536586,-3.099584,0.5
EN_SD2604_P_12697_20221207_20221207,SD,SD2604,/data/data/england_raw/SD2604_P_12697_20221207_20221207.copc.laz,True,36.16,9391729,True,/data/england_tiles/train/EN_SD2604_P_12697_20221207_20221207/_scene_EN_SD2604_P_12697_20221207_20221207.npz,True,train,4000,4000,7817178,0.4886,253,326000.0,404000.0,328000.0,406000.0,53.536555,-3.102922,0.5
EN_SD2606_P_12641_20220810_20220810,SD,SD2606,/data/data/england_raw/SD2606_P_12641_20220810_20220810.copc.laz,True,54.01,9066360,True,/data/england_tiles/train/EN_SD2606_P_12641_20220810_20220810/_scene_EN_SD2606_P_12641_20220810_20220810.npz,True,train,4000,3162,6684590,0.5285,206,326419.0,406000.0,328000.0,408000.0,53.554558,-3.100227,0.5
EN_SD2606_P_12697_20221207_20221207,SD,SD2606,/data/data/england_raw/SD2606_P_12697_20221207_20221207.copc.laz,True,47.78,9743761,True,/data/england_tiles/train/EN_SD2606_P_12697_20221207_20221207/_scene_EN_SD2606_P_12697_20221207_20221207.npz,True,train,4000,4000,7476141,0.4673,250,326000.0,406000.0,328000.0,408000.0,53.554529,-3.103389,0.5
EN_SD2608_P_12641_20220810_20220810,SD,SD2608,/data/data/england_raw/SD2608_P_12641_20220810_20220810.copc.laz,True,40.07,7337827,True,/data/england_tiles/train/EN_SD2608_P_12641_20220810_20220810/_scene_EN_SD2608_P_12641_20220810_20220810.npz,True,train,4000,3172,5858071,0.4617,207,326414.0,408000.0,328000.0,410000.0,53.572531,-3.100732,0.5
EN_SD2608_P_12697_20221207_20221207,SD,SD2608,/data/data/england_raw/SD2608_P_12697_20221207_20221207.copc.laz,True,39.27,8020635,True,/data/england_tiles/train/EN_SD2608_P_12697_20221207_20221207/_scene_EN_SD2608_P_12697_20221207_20221207.npz,True,train,4000,4000,6248862,0.3906,242,326000.0,408000.0,328000.0,410000.0,53.572502,-3.103857,0.5
EN_SD2610_P_12641_20220810_20220810,SD,SD2610,/data/data/england_raw/SD2610_P_12641_20220810_20220810.copc.laz,True,13.52,2857628,True,/data/england_tiles/train/EN_SD2610_P_12641_20220810_20220810/_scene_EN_SD2610_P_12641_20220810_20220810.npz,True,train,3989,3141,2708835,0.2162,130,326429.5,410000.0,328000.0,411994.5,53.59048,-3.101081,0.5
EN_SD2610_P_12697_20221207_20221207,SD,SD2610,/data/data/england_raw/SD2610_P_12697_20221207_20221207.copc.laz,True,11.92,3037331,True,/data/england_tiles/train/EN_SD2610_P_12697_20221207_20221207/_scene_EN_SD2610_P_12697_20221207_20221207.npz,True,train,4000,4000,2959582,0.185,167,326000.0,410000.0,328000.0,412000.0,53.590475,-3.104326,0.5
EN_SD2612_P_12697_20221207_20221207,SD,SD2612,/data/data/england_raw/SD2612_P_12697_20221207_20221207.copc.laz,True,4.32,948714,True,/data/england_tiles/train/EN_SD2612_P_12697_20221207_20221207/_scene_EN_SD2612_P_12697_20221207_20221207.npz,True,train,2751,2776,947417,0.1241,63,326612.0,412000.0,328000.0,413375.5,53.605685,-3.100098,0.5
EN_SD2612_P_12698_20221028_20221028,SD,SD2612,/data/data/england_raw/SD2612_P_12698_20221028_20221028.copc.laz,True,0.31,55700,True,/data/england_tiles/train/EN_SD2612_P_12698_20221028_20221028/_scene_EN_SD2612_P_12698_20221028_20221028.npz,True,train,2404,501,54046,0.0449,6,327749.5,412665.0,328000.0,413867.0,53.61096,-3.091638,0.5
EN_SD2622_P_12698_20221028_20221028,SD,SD2622,/data/data/england_raw/SD2622_P_12698_20221028_20221028.copc.laz,True,3.93,672216,True,/data/england_tiles/train/EN_SD2622_P_12698_20221028_20221028/_scene_EN_SD2622_P_12698_20221028_20221028.npz,True,train,1650,1612,611876,0.23,39,327194.0,423175.0,328000.0,424000.0,53.703676,-3.098244,0.5
EN_SD2624_P_12698_20221028_20221028,SD,SD2624,/data/data/england_raw/SD2624_P_12698_20221028_20221028.copc.laz,True,4.69,1030024,True,/data/england_tiles/train/EN_SD2624_P_12698_20221028_20221028/_scene_EN_SD2624_P_12698_20221028_20221028.npz,True,train,4000,1397,980627,0.1755,64,327301.5,424000.0,328000.0,426000.0,53.716377,-3.097761,0.5
EN_SD2626_P_12698_20221028_20221028,SD,SD2626,/data/data/england_raw/SD2626_P_12698_20221028_20221028.copc.laz,True,0.09,11510,True,/data/england_tiles/train/EN_SD2626_P_12698_20221028_20221028/_scene_EN_SD2626_P_12698_20221028_20221028.npz,True,train,1232,293,11153,0.0309,5,327853.5,426000.0,328000.0,426616.0,53.728169,-3.093885,0.5
EN_SD2800_P_12697_20221207_20221207,SD,SD2800,/data/data/england_raw/SD2800_P_12697_20221207_20221207.copc.laz,True,33.32,8378174,True,/data/england_tiles/train/EN_SD2800_P_12697_20221207_20221207/_scene_EN_SD2800_P_12697_20221207_20221207.npz,True,train,4000,4000,7117918,0.4449,248,328000.0,400000.0,330000.0,402000.0,53.500883,-3.071843,0.5
EN_SD2802_P_12641_20220810_20220810,SD,SD2802,/data/data/england_raw/SD2802_P_12641_20220810_20220810.copc.laz,True,57.36,11799002,True,/data/england_tiles/train/EN_SD2802_P_12641_20220810_20220810/_scene_EN_SD2802_P_12641_20220810_20220810.npz,True,train,4000,4000,8816604,0.551,250,328000.0,402000.0,330000.0,404000.0,53.518856,-3.072297,0.5
EN_SD2802_P_12697_20221207_20221207,SD,SD2802,/data/data/england_raw/SD2802_P_12697_20221207_20221207.copc.laz,True,40.0,9670413,True,/data/england_tiles/train/EN_SD2802_P_12697_20221207_20221207/_scene_EN_SD2802_P_12697_20221207_20221207.npz,True,train,4000,4000,7933138,0.4958,256,328000.0,402000.0,330000.0,404000.0,53.518856,-3.072297,0.5
EN_SD2804_P_12697_20221207_20221207,SD,SD2804,/data/data/england_raw/SD2804_P_12697_20221207_20221207.copc.laz,True,54.51,11046633,True,/data/england_tiles/train/EN_SD2804_P_12697_20221207_20221207/_scene_EN_SD2804_P_12697_20221207_20221207.npz,True,train,4000,4000,8285189,0.5178,256,328000.0,404000.0,330000.0,406000.0,53.53683,-3.072751,0.5
EN_SD2806_P_12641_20220810_20220810,SD,SD2806,/data/data/england_raw/SD2806_P_12641_20220810_20220810.copc.laz,True,108.42,16292596,True,/data/england_tiles/train/EN_SD2806_P_12641_20220810_20220810/_scene_EN_SD2806_P_12641_20220810_20220810.npz,True,train,4000,4000,10213016,0.6383,256,328000.0,406000.0,330000.0,408000.0,53.554803,-3.073205,0.5
EN_SD2806_P_12697_20221207_20221207,SD,SD2806,/data/data/england_raw/SD2806_P_12697_20221207_20221207.copc.laz,True,72.95,12416102,True,/data/england_tiles/train/EN_SD2806_P_12697_20221207_20221207/_scene_EN_SD2806_P_12697_20221207_20221207.npz,True,train,4000,4000,8674962,0.5422,256,328000.0,406000.0,330000.0,408000.0,53.554803,-3.073205,0.5
EN_SD2808_P_12641_20220810_20220810,SD,SD2808,/data/data/england_raw/SD2808_P_12641_20220810_20220810.copc.laz,True,117.41,17645329,True,/data/england_tiles/test/EN_SD2808_P_12641_20220810_20220810/_scene_EN_SD2808_P_12641_20220810_20220810.npz,True,test,4000,4000,10426290,0.6516,256,328000.0,408000.0,330000.0,410000.0,53.572777,-3.073661,0.5
EN_SD2808_P_12697_20221207_20221207,SD,SD2808,/data/data/england_raw/SD2808_P_12697_20221207_20221207.copc.laz,True,82.7,14212056,True,/data/england_tiles/train/EN_SD2808_P_12697_20221207_20221207/_scene_EN_SD2808_P_12697_20221207_20221207.npz,True,train,4000,4000,9164779,0.5728,256,328000.0,408000.0,330000.0,410000.0,53.572777,-3.073661,0.5
EN_SD2810_P_12641_20220810_20220810,SD,SD2810,/data/data/england_raw/SD2810_P_12641_20220810_20220810.copc.laz,True,95.77,15623694,True,/data/england_tiles/train/EN_SD2810_P_12641_20220810_20220810/_scene_EN_SD2810_P_12641_20220810_20220810.npz,True,train,4000,4000,9941157,0.6213,256,328000.0,410000.0,330000.0,412000.0,53.59075,-3.074116,0.5
EN_SD2810_P_12697_20221207_20221207,SD,SD2810,/data/data/england_raw/SD2810_P_12697_20221207_20221207.copc.laz,True,61.83,11691696,True,/data/england_tiles/train/EN_SD2810_P_12697_20221207_20221207/_scene_EN_SD2810_P_12697_20221207_20221207.npz,True,train,4000,4000,8362839,0.5227,256,328000.0,410000.0,330000.0,412000.0,53.59075,-3.074116,0.5
EN_SD2810_P_12698_20221028_20221028,SD,SD2810,/data/data/england_raw/SD2810_P_12698_20221028_20221028.copc.laz,True,4.01,593303,True,/data/england_tiles/train/EN_SD2810_P_12698_20221028_20221028/_scene_EN_SD2810_P_12698_20221028_20221028.npz,True,train,997,1611,491017,0.3057,23,329194.5,411501.5,330000.0,412000.0,53.597578,-3.065265,0.5
EN_SD2812_P_12641_20220810_20220810,SD,SD2812,/data/data/england_raw/SD2812_P_12641_20220810_20220810.copc.laz,True,41.72,9070846,True,/data/england_tiles/train/EN_SD2812_P_12641_20220810_20220810/_scene_EN_SD2812_P_12641_20220810_20220810.npz,True,train,4000,3908,7035747,0.4501,231,328046.0,412000.0,330000.0,414000.0,53.608727,-3.074225,0.5
EN_SD2812_P_12697_20221207_20221207,SD,SD2812,/data/data/england_raw/SD2812_P_12697_20221207_20221207.copc.laz,True,27.86,6757593,True,/data/england_tiles/train/EN_SD2812_P_12697_20221207_20221207/_scene_EN_SD2812_P_12697_20221207_20221207.npz,True,train,3872,4000,5817428,0.3756,223,328000.0,412000.0,330000.0,413936.0,53.608436,-3.074565,0.5
EN_SD2812_P_12698_20221028_20221028,SD,SD2812,/data/data/england_raw/SD2812_P_12698_20221028_20221028.copc.laz,True,38.8,7252859,True,/data/england_tiles/train/EN_SD2812_P_12698_20221028_20221028/_scene_EN_SD2812_P_12698_20221028_20221028.npz,True,train,4000,4000,6048623,0.378,218,328000.0,412000.0,330000.0,414000.0,53.608723,-3.074573,0.5
EN_SD2814_P_12698_20221028_20221028,SD,SD2814,/data/data/england_raw/SD2814_P_12698_20221028_20221028.copc.laz,True,36.25,6878458,True,/data/england_tiles/train/EN_SD2814_P_12698_20221028_20221028/_scene_EN_SD2814_P_12698_20221028_20221028.npz,True,train,4000,3894,5793315,0.3719,225,328053.0,414000.0,330000.0,416000.0,53.6267,-3.074629,0.5
EN_SD2816_P_12641_20220810_20220810,SD,SD2816,/data/data/england_raw/SD2816_P_12641_20220810_20220810.copc.laz,True,3.17,752832,True,/data/england_tiles/train/EN_SD2816_P_12641_20220810_20220810/_scene_EN_SD2816_P_12641_20220810_20220810.npz,True,train,2014,683,602287,0.4378,24,329658.5,416000.0,330000.0,417007.0,53.64032,-3.062833,0.5
EN_SD2816_P_12698_20221028_20221028,SD,SD2816,/data/data/england_raw/SD2816_P_12698_20221028_20221028.copc.laz,True,26.79,4985361,True,/data/england_tiles/train/EN_SD2816_P_12698_20221028_20221028/_scene_EN_SD2816_P_12698_20221028_20221028.npz,True,train,4000,3020,4250541,0.3519,162,328490.0,416000.0,330000.0,418000.0,53.644703,-3.071781,0.5
EN_SD2818_P_12698_20221028_20221028,SD,SD2818,/data/data/england_raw/SD2818_P_12698_20221028_20221028.copc.laz,True,27.3,4863070,True,/data/england_tiles/train/EN_SD2818_P_12698_20221028_20221028/_scene_EN_SD2818_P_12698_20221028_20221028.npz,True,train,4000,3334,4267869,0.32,197,328333.0,418000.0,330000.0,420000.0,53.662666,-3.073425,0.5
EN_SD2822_P_12698_20221028_20221028,SD,SD2822,/data/data/england_raw/SD2822_P_12698_20221028_20221028.copc.laz,True,18.36,4385059,True,/data/england_tiles/train/EN_SD2822_P_12698_20221028_20221028/_scene_EN_SD2822_P_12698_20221028_20221028.npz,True,train,4000,4000,4026487,0.2517,215,328000.0,422000.0,330000.0,424000.0,53.698589,-3.076861,0.5
EN_SD2824_P_12698_20221028_20221028,SD,SD2824,/data/data/england_raw/SD2824_P_12698_20221028_20221028.copc.laz,True,32.15,6639334,True,/data/england_tiles/train/EN_SD2824_P_12698_20221028_20221028/_scene_EN_SD2824_P_12698_20221028_20221028.npz,True,train,4000,4000,5762482,0.3602,253,328000.0,424000.0,330000.0,426000.0,53.716562,-3.07732,0.5
EN_SD2826_P_12700_20220924_20220924,SD,SD2826,/data/data/england_raw/SD2826_P_12700_20220924_20220924.copc.laz,True,2.66,523812,True,/data/england_tiles/train/EN_SD2826_P_12700_20220924_20220924/_scene_EN_SD2826_P_12700_20220924_20220924.npz,True,train,737,2825,486634,0.2337,33,328587.5,427631.5,330000.0,428000.0,53.741906,-3.073514,0.5
EN_SD2828_P_12698_20221028_20221028,SD,SD2828,/data/data/england_raw/SD2828_P_12698_20221028_20221028.copc.laz,True,7.96,1586737,True,/data/england_tiles/train/EN_SD2828_P_12698_20221028_20221028/_scene_EN_SD2828_P_12698_20221028_20221028.npz,True,train,2038,3445,1418468,0.202,76,328277.5,428000.0,330000.0,429019.0,53.748119,-3.076023,0.5
EN_SD2830_P_12700_20220924_20220924,SD,SD2830,/data/data/england_raw/SD2830_P_12700_20220924_20220924.copc.laz,True,10.87,2149421,True,/data/england_tiles/train/EN_SD2830_P_12700_20220924_20220924/_scene_EN_SD2830_P_12700_20220924_20220924.npz,True,train,4000,2533,2017305,0.1991,129,328733.5,430000.0,330000.0,432000.0,53.770531,-3.073137,0.5
EN_SD2834_P_12700_20220924_20220924,SD,SD2834,/data/data/england_raw/SD2834_P_12700_20220924_20220924.copc.laz,True,7.05,1344974,True,/data/england_tiles/train/EN_SD2834_P_12700_20220924_20220924/_scene_EN_SD2834_P_12700_20220924_20220924.npz,True,train,4000,1920,1343298,0.1749,102,329040.0,434000.0,330000.0,436000.0,53.806497,-3.071729,0.5
EN_SD2836_P_12700_20220924_20220924,SD,SD2836,/data/data/england_raw/SD2836_P_12700_20220924_20220924.copc.laz,True,5.41,966426,True,/data/england_tiles/train/EN_SD2836_P_12700_20220924_20220924/_scene_EN_SD2836_P_12700_20220924_20220924.npz,True,train,4000,1672,964594,0.1442,84,329164.0,436000.0,330000.0,438000.0,53.824478,-3.071246,0.5
EN_SD2838_P_12700_20220924_20220924,SD,SD2838,/data/data/england_raw/SD2838_P_12700_20220924_20220924.copc.laz,True,4.1,734842,True,/data/england_tiles/train/EN_SD2838_P_12700_20220924_20220924/_scene_EN_SD2838_P_12700_20220924_20220924.npz,True,train,4000,1351,733683,0.1358,64,329324.5,438000.0,330000.0,440000.0,53.842462,-3.070485,0.5
EN_SD2840_P_12700_20220924_20220924,SD,SD2840,/data/data/england_raw/SD2840_P_12700_20220924_20220924.copc.laz,True,3.92,750757,True,/data/england_tiles/train/EN_SD2840_P_12700_20220924_20220924/_scene_EN_SD2840_P_12700_20220924_20220924.npz,True,train,4000,1103,749784,0.1699,62,329448.5,440000.0,330000.0,442000.0,53.860443,-3.070002,0.5
EN_SD2842_P_12700_20220924_20220924,SD,SD2842,/data/data/england_raw/SD2842_P_12700_20220924_20220924.copc.laz,True,3.19,616880,True,/data/england_tiles/test/EN_SD2842_P_12700_20220924_20220924/_scene_EN_SD2842_P_12700_20220924_20220924.npz,True,test,4000,907,616115,0.1698,51,329546.5,442000.0,330000.0,444000.0,53.878422,-3.069715,0.5
EN_SD2846_P_12700_20220924_20220924,SD,SD2846,/data/data/england_raw/SD2846_P_12700_20220924_20220924.copc.laz,True,0.35,56756,True,/data/england_tiles/train/EN_SD2846_P_12700_20220924_20220924/_scene_EN_SD2846_P_12700_20220924_20220924.npz,True,train,4000,332,56488,0.0425,16,329834.0,446000.0,330000.0,448000.0,53.914387,-3.068446,0.5
EN_SD2848_P_12700_20220924_20220924,SD,SD2848,/data/data/england_raw/SD2848_P_12700_20220924_20220924.copc.laz,True,0.0,283,True,/data/england_tiles/train/EN_SD2848_P_12700_20220924_20220924/_scene_EN_SD2848_P_12700_20220924_20220924.npz,True,train,990,80,262,0.0033,0,329960.0,448000.0,330000.0,448495.0,53.925605,-3.067773,0.5
EN_SD3200_P_12697_20221207_20221207,SD,SD3200,/data/data/england_raw/SD3200_P_12697_20221207_20221207.copc.laz,True,1.02,198754,True,/data/england_tiles/train/EN_SD3200_P_12697_20221207_20221207/_scene_EN_SD3200_P_12697_20221207_20221207.npz,True,train,1609,459,136761,0.1852,10,332000.0,400000.0,332229.5,400804.5,53.495922,-3.024765,0.5
EN_SD3210_P_12641_20220810_20220810,SD,SD3210,/data/data/england_raw/SD3210_P_12641_20220810_20220810.copc.laz,True,4.36,745047,True,/data/england_tiles/train/EN_SD3210_P_12641_20220810_20220810/_scene_EN_SD3210_P_12641_20220810_20220810.npz,True,train,1454,998,575692,0.3967,24,332000.0,411273.0,332499.0,412000.0,53.596901,-3.025171,0.5
EN_SD3210_P_12697_20221207_20221207,SD,SD3210,/data/data/england_raw/SD3210_P_12697_20221207_20221207.copc.laz,True,0.01,2589,True,/data/england_tiles/train/EN_SD3210_P_12697_20221207_20221207/_scene_EN_SD3210_P_12697_20221207_20221207.npz,True,train,226,57,2004,0.1556,1,332000.0,411280.0,332028.5,411393.0,53.594174,-3.02866,0.5
EN_SD3210_P_12698_20221028_20221028,SD,SD3210,/data/data/england_raw/SD3210_P_12698_20221028_20221028.copc.laz,True,0.95,165339,True,/data/england_tiles/train/EN_SD3210_P_12698_20221028_20221028/_scene_EN_SD3210_P_12698_20221028_20221028.npz,True,train,606,741,145940,0.325,9,332000.0,411697.0,332370.5,412000.0,53.598798,-3.026188,0.5
EN_SD3212_P_12641_20220810_20220810,SD,SD3212,/data/data/england_raw/SD3212_P_12641_20220810_20220810.copc.laz,True,40.05,6635270,True,/data/england_tiles/train/EN_SD3212_P_12641_20220810_20220810/_scene_EN_SD3212_P_12641_20220810_20220810.npz,True,train,4000,2595,4899973,0.4721,156,332000.0,412000.0,333297.5,414000.0,53.609206,-3.019435,0.5
EN_SD3212_P_12698_20221028_20221028,SD,SD3212,/data/data/england_raw/SD3212_P_12698_20221028_20221028.copc.laz,True,12.39,1904186,True,/data/england_tiles/train/EN_SD3212_P_12698_20221028_20221028/_scene_EN_SD3212_P_12698_20221028_20221028.npz,True,train,4000,1543,1589650,0.2576,73,332000.0,412000.0,332771.5,414000.0,53.609172,-3.023409,0.5
EN_SD3214_P_12641_20220810_20220810,SD,SD3214,/data/data/england_raw/SD3214_P_12641_20220810_20220810.copc.laz,True,54.64,8071556,True,/data/england_tiles/train/EN_SD3214_P_12641_20220810_20220810/_scene_EN_SD3214_P_12641_20220810_20220810.npz,True,train,4000,2555,5585167,0.5465,160,332000.0,414000.0,333277.5,416000.0,53.627178,-3.020019,0.5
EN_SD3214_P_12698_20221028_20221028,SD,SD3214,/data/data/england_raw/SD3214_P_12698_20221028_20221028.copc.laz,True,32.39,4455613,True,/data/england_tiles/test/EN_SD3214_P_12698_20221028_20221028/_scene_EN_SD3214_P_12698_20221028_20221028.npz,True,test,4000,3580,3361512,0.2347,131,332000.0,414000.0,333790.0,416000.0,53.627211,-3.016145,0.5
EN_SD3216_P_12641_20220810_20220810,SD,SD3216,/data/data/england_raw/SD3216_P_12641_20220810_20220810.copc.laz,True,42.84,7378691,True,/data/england_tiles/train/EN_SD3216_P_12641_20220810_20220810/_scene_EN_SD3216_P_12641_20220810_20220810.npz,True,train,4000,2552,5411105,0.5301,160,332000.0,416000.0,333276.0,418000.0,53.645152,-3.020465,0.5
